cohort,gene_symbol,hedges_g,variance
GSE96804,MAPK3,-1.0374994531071549,0.0835123211498767
GSE96804,MASP1,-0.9324257894875858,0.08175819180838434
GSE96804,MASP2,1.1575218297245946,0.08574496243031168
GSE96804,MATN1,0.20114277738148645,0.07473311184220799
GSE96804,MATN3,-0.835679448296625,0.08030855017621319
GSE96804,MATN4,0.16080954500986036,0.0746093939852041
GSE96804,MBL2,0.32256495837500415,0.07527200790558705
GSE96804,MEN1,0.45639943516406334,0.07615550190598204
GSE96804,MERTK,0.850815691954076,0.0805248823912127
GSE96804,MFAP2,1.3307019699368747,0.08939675011255664
GSE96804,MFAP3,-0.6331913239942708,0.07778796638363918
GSE96804,MFAP4,1.215408163156719,0.08690903206403215
GSE96804,MFAP5,-0.7240959746090372,0.0788335911943459
GSE96804,MIF,-1.3164267400278404,0.08907650968091638
GSE96804,MMP1,0.4235768769943914,0.07591073009501802
