gene_symbol,mapping_status,n_samples,n_dkd,n_control,n_male,n_female,unadjusted_mean_difference,unadjusted_welch_p,sex_adjusted_disease_beta,sex_adjusted_disease_se,sex_adjusted_disease_p,direction_changed_after_sex_adjustment,sex_adjusted_fdr_bh_145
SELE,MAPPED,61.0,41.0,20.0,43.0,18.0,0.2582101585365857,0.0955349472261864,0.2570359630911191,0.16035510812144277,0.11438551694289611,False,0.1822626368870323
PDGFB,MAPPED,61.0,41.0,20.0,43.0,18.0,0.44897626829268233,8.387608745968721e-09,0.4494293598615921,0.07911576582637796,4.552183853215765e-07,False,1.1001110978604765e-05
LGALS3,MAPPED,61.0,41.0,20.0,43.0,18.0,0.24513443902438858,0.015407076926538648,0.24517745098039423,0.10987894927951661,0.02953836019008683,False,0.052877311451390005
ANGPT2,MAPPED,61.0,41.0,20.0,43.0,18.0,1.042473158536585,2.500983726413488e-11,1.0440601211072673,0.16066246034962417,2.0279707622916943e-08,False,8.136557100222969e-07
SKIL,MAPPED,61.0,41.0,20.0,43.0,18.0,0.6708363414634135,2.7813785053497353e-11,0.6697573817762414,0.07345593335719662,8.480360231556798e-13,False,1.2296522335757356e-10
EPAS1,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.3536609756097562,0.0017392925164559838,-0.3527076124567467,0.12252343786731464,0.005583295598826233,False,0.012266331239845512
F12,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.0035377439024393276,0.8801923986080984,-0.0037132410611303637,0.025484502028567134,0.8846588120312595,False,0.9501890944039455
SMAD3,MAPPED,61.0,41.0,20.0,43.0,18.0,0.0066155731707331356,0.8953781030632992,0.007100467128028323,0.05474022434055355,0.8972430473476207,False,0.956619425480919
PDGFA,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.048115597560974166,0.2222941448667046,-0.048294054209919404,0.04237395916469051,0.25909181377838186,False,0.3544180471496733
C2,MAPPED,61.0,41.0,20.0,43.0,18.0,0.2087254756097554,0.19359830340314574,0.21009585928489072,0.15146282373368325,0.17071529712534908,False,0.25499578966980296
C4A,NOT_MAPPED,,,,,,,,,,,,1.0
C4B,MAPPED,61.0,41.0,20.0,43.0,18.0,0.13112160975609788,0.30081262160943234,0.13102303921568662,0.11992080651160972,0.27909586158962807,False,0.37471203639348216
C8A,MAPPED,61.0,41.0,20.0,43.0,18.0,0.005164024390243327,0.8374418917680546,0.005098166089965609,0.025827170272116277,0.8442082379818979,False,0.9203774023110917
C8B,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.02125919512195118,0.39901363970577053,-0.021372871972317964,0.025093605243944155,0.3978693950608708,False,0.515098770391306
C9,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.014967999999999204,0.7634703599857005,-0.014765801614763298,0.04569970611264211,0.7477777824523953,False,0.8470920191843541
CA9,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.07881276829268247,0.1797161376543968,-0.07916088235294107,0.04577021761059702,0.08903378121842298,False,0.14670338950762876
CCL7,MAPPED,61.0,41.0,20.0,43.0,18.0,0.10326041463414626,0.11073303250076737,0.10275087658592905,0.07622749184938425,0.1829156693587335,False,0.26790678845471066
CXCL11,MAPPED,61.0,41.0,20.0,43.0,18.0,0.2915740853658546,0.08573261444280458,0.29187741637831643,0.192418388964654,0.13472651816600067,False,0.20670519110906693
F2,MAPPED,61.0,41.0,20.0,43.0,18.0,0.027850756097560936,0.22165854033045473,0.027409567474048553,0.022168058942452256,0.22127716830392383,False,0.3176751426145441
